Timestamp,1. Which country are you currently studying or freelancing in?,2. What is your primary area of tech focus?,3. What is your current academic/professional status?,4. What is the biggest barrier you face when applying for remote or regional tech opportunities? (Select all that apply),5. How do you currently showcase your technical or creative projects to prospective clients/employers?,"6. On a scale of 1 to 5, how confident do you feel that your current resume accurately represents what you can actually build?","7. If an AI could scan your messy project notes, class assignments, or GitHub links and instantly structure them into a polished, executive-ready portfolio case study, how valuable would that be to you?",8. How often does the cost of mobile data or poor internet connectivity disrupt your ability to search for work or update your online profiles?,9. Would you use a lightweight WhatsApp assistant to update your portfolio status or receive direct job matches without loading a heavy website?
6/5/2026 10:10:10,🇬🇭 Ghana,Software Engineering / Web Development,University Student (Undergraduate),"Traditional resumes don't capture my practical coding/design skills., International platforms (like Upwork or Fiverr) favor established profiles with massive histories.","I share links to raw, unorganized repositories (GitHub, Figma, Behance).",3,5,Frequently (A few times a week),"Yes, this would save me massive data and time."
6/5/2026 10:15:41,🇬🇭 Ghana,Software Engineering / Web Development,University Student (Undergraduate),"Job descriptions require 3+ years of experience for ""entry-level"" roles., Lack of a professional network or industry connections.",I send a standard Word/PDF resume with text descriptions.,4,5,Frequently (A few times a week),"Maybe, depending on how easy it is to use."
6/5/2026 10:16:35,🇬🇭 Ghana,Software Engineering / Web Development,University Student (Undergraduate),"Job descriptions require 3+ years of experience for ""entry-level"" roles.",I don't have a structured way to show my work yet.,3,5,Occasionally,"Maybe, depending on how easy it is to use."
6/5/2026 10:16:42,🇬🇭 Ghana,Other,University Student (Undergraduate),"International platforms (like Upwork or Fiverr) favor established profiles with massive histories., Lack of a professional network or industry connections.",I don't have a structured way to show my work yet.,1,5,Constantly (Daily issue),"Yes, this would save me massive data and time."
6/5/2026 10:18:11,🇬🇭 Ghana,UI/UX Design,University Student (Undergraduate),"Job descriptions require 3+ years of experience for ""entry-level"" roles., Language barriers when applying to global or cross-border roles.",I don't have a structured way to show my work yet.,3,4,Frequently (A few times a week),"Maybe, depending on how easy it is to use."
6/5/2026 10:18:25,🇬🇭 Ghana,Software Engineering / Web Development,University Student (Undergraduate),"Traditional resumes don't capture my practical coding/design skills., Language barriers when applying to global or cross-border roles.",I don't have a structured way to show my work yet.,4,5,Constantly (Daily issue),"Yes, this would save me massive data and time."
6/5/2026 10:21:06,🇬🇭 Ghana,Digital Marketing & Content Creation,University Student (Undergraduate),"Job descriptions require 3+ years of experience for ""entry-level"" roles., Traditional resumes don't capture my practical coding/design skills., International platforms (like Upwork or Fiverr) favor established profiles with massive histories., Lack of a professional network or industry connections., Language barriers when applying to global or cross-border roles.",I don't have a structured way to show my work yet.,5,5,Constantly (Daily issue),"Yes, this would save me massive data and time."
6/5/2026 10:41:28,🇬🇭 Ghana,Software Engineering / Web Development,University Student (Undergraduate),"Job descriptions require 3+ years of experience for ""entry-level"" roles., Traditional resumes don't capture my practical coding/design skills., Lack of a professional network or industry connections.",I don't have a structured way to show my work yet.,4,5,Constantly (Daily issue),"Yes, this would save me massive data and time."
6/5/2026 10:46:56,🇬🇭 Ghana,Software Engineering / Web Development,University Student (Undergraduate),"Job descriptions require 3+ years of experience for ""entry-level"" roles.",I send a standard Word/PDF resume with text descriptions.,5,5,Occasionally,"Yes, this would save me massive data and time."
6/5/2026 11:54:18,🇬🇭 Ghana,Software Engineering / Web Development,University Student (Undergraduate),"Job descriptions require 3+ years of experience for ""entry-level"" roles., International platforms (like Upwork or Fiverr) favor established profiles with massive histories., Lack of a professional network or industry connections.",I don't have a structured way to show my work yet.,4,5,Constantly (Daily issue),"Yes, this would save me massive data and time."
6/5/2026 23:12:21,🇿🇲 Zambia,Digital Marketing & Content Creation,University Student (Undergraduate),International platforms (like Upwork or Fiverr) favor established profiles with massive histories.,I send a standard Word/PDF resume with text descriptions.,2,3,Frequently (A few times a week),"No, I prefer using a standard web browser on a laptop."
6/5/2026 23:19:37,🇿🇲 Zambia,Other,University Student (Undergraduate),Lack of a professional network or industry connections.,I don't have a structured way to show my work yet.,2,4,Frequently (A few times a week),"Yes, this would save me massive data and time."
6/6/2026 7:46:55,🇿🇲 Zambia,Data Science / AI / Analytics,Recent Graduate (Within 1 year),"Job descriptions require 3+ years of experience for ""entry-level"" roles.",I don't have a structured way to show my work yet.,1,5,"Rarely / I have stable, unlimited Wi-Fi","Maybe, depending on how easy it is to use."
6/6/2026 8:10:14,🇿🇲 Zambia,Digital Marketing & Content Creation,University Student (Undergraduate),"Job descriptions require 3+ years of experience for ""entry-level"" roles., Lack of a professional network or industry connections.",I don't have a structured way to show my work yet.,2,5,Occasionally,"Yes, this would save me massive data and time."
6/6/2026 9:51:00,Nigeria,Digital Marketing & Content Creation,University Student (Undergraduate),"Job descriptions require 3+ years of experience for ""entry-level"" roles., International platforms (like Upwork or Fiverr) favor established profiles with massive histories., Lack of a professional network or industry connections.",I built my own personal portfolio website (managed via hosting/code).,4,4,Occasionally,"Yes, this would save me massive data and time."
6/6/2026 9:53:11,🇿🇲 Zambia,Other,University Student (Undergraduate),"Job descriptions require 3+ years of experience for ""entry-level"" roles.",I send a standard Word/PDF resume with text descriptions.,3,3,Occasionally,"Maybe, depending on how easy it is to use."
6/6/2026 9:55:49,🇳🇬Nigeria ,Digital Marketing & Content Creation,University Student (Undergraduate),"International platforms (like Upwork or Fiverr) favor established profiles with massive histories., Lack of a professional network or industry connections.",I send a standard Word/PDF resume with text descriptions.,3,5,Constantly (Daily issue),"Yes, this would save me massive data and time."
6/6/2026 9:57:46,🇿🇲 Zambia,Software Engineering / Web Development,University Student (Undergraduate),Lack of a professional network or industry connections.,I send a standard Word/PDF resume with text descriptions.,4,4,Occasionally,"Yes, this would save me massive data and time."
6/6/2026 10:01:57,🇿🇲 Zambia,Other,University Student (Undergraduate),"Job descriptions require 3+ years of experience for ""entry-level"" roles.",I send a standard Word/PDF resume with text descriptions.,4,5,"Rarely / I have stable, unlimited Wi-Fi","Maybe, depending on how easy it is to use."
6/6/2026 10:03:59,🇿🇲 Zambia,Digital Marketing & Content Creation,University Student (Undergraduate),"Job descriptions require 3+ years of experience for ""entry-level"" roles., Lack of a professional network or industry connections., Language barriers when applying to global or cross-border roles.",I don't have a structured way to show my work yet.,3,4,Frequently (A few times a week),"No, I prefer using a standard web browser on a laptop."
6/6/2026 10:07:28,🇿🇲 Zambia,Other,University Student (Undergraduate),Lack of a professional network or industry connections.,I don't have a structured way to show my work yet.,3,4,Frequently (A few times a week),"Maybe, depending on how easy it is to use."
6/6/2026 10:13:08,🇿🇲 Zambia,Other,University Student (Undergraduate),"Job descriptions require 3+ years of experience for ""entry-level"" roles.",I send a standard Word/PDF resume with text descriptions.,3,4,Frequently (A few times a week),"Yes, this would save me massive data and time."
6/6/2026 10:16:48,🇿🇲 Zambia,Other,Junior Freelancer,,I don't have a structured way to show my work yet.,1,1,"Rarely / I have stable, unlimited Wi-Fi","No, I prefer using a standard web browser on a laptop."
6/6/2026 10:51:54,🇿🇲 Zambia,Other,University Student (Undergraduate),"Job descriptions require 3+ years of experience for ""entry-level"" roles., Lack of a professional network or industry connections.",I send a standard Word/PDF resume with text descriptions.,4,5,Occasionally,"Maybe, depending on how easy it is to use."
6/6/2026 13:13:55,🇿🇲 Zambia,Other,University Student (Undergraduate),"Job descriptions require 3+ years of experience for ""entry-level"" roles.",I send a standard Word/PDF resume with text descriptions.,5,5,Frequently (A few times a week),"Yes, this would save me massive data and time."
6/6/2026 16:24:47,🇿🇲 Zambia,Software Engineering / Web Development,University Student (Undergraduate),"Job descriptions require 3+ years of experience for ""entry-level"" roles., International platforms (like Upwork or Fiverr) favor established profiles with massive histories., Lack of a professional network or industry connections.",I don't have a structured way to show my work yet.,4,5,Constantly (Daily issue),"Yes, this would save me massive data and time."
6/7/2026 7:29:29,🇲🇿 Mozambique,Other,Recent Graduate (Within 1 year),International platforms (like Upwork or Fiverr) favor established profiles with massive histories.,I send a standard Word/PDF resume with text descriptions.,5,5,"Rarely / I have stable, unlimited Wi-Fi","Maybe, depending on how easy it is to use."
6/7/2026 8:39:12,🇲🇿 Mozambique,Other,University Student (Undergraduate),,I don't have a structured way to show my work yet.,3,3,Occasionally,"Yes, this would save me massive data and time."
6/7/2026 8:40:28,🇲🇿 Mozambique,Other,University Student (Undergraduate),"Job descriptions require 3+ years of experience for ""entry-level"" roles.",I send a standard Word/PDF resume with text descriptions.,2,3,Frequently (A few times a week),"No, I prefer using a standard web browser on a laptop."
6/7/2026 8:57:52,🇨🇮 Ivory Coast,Data Science / AI / Analytics,Recent Graduate (Within 1 year),"Job descriptions require 3+ years of experience for ""entry-level"" roles., Lack of a professional network or industry connections., Language barriers when applying to global or cross-border roles.",I built my own personal portfolio website (managed via hosting/code).,4,5,Occasionally,"Yes, this would save me massive data and time."
6/7/2026 9:18:19,🇲🇿 Mozambique,Software Engineering / Web Development,University Student (Undergraduate),"Job descriptions require 3+ years of experience for ""entry-level"" roles., International platforms (like Upwork or Fiverr) favor established profiles with massive histories., Lack of a professional network or industry connections.",I send a standard Word/PDF resume with text descriptions.,3,3,Constantly (Daily issue),"No, I prefer using a standard web browser on a laptop."
6/8/2026 14:50:33,🇲🇿 Mozambique,Software Engineering / Web Development,University Student (Undergraduate),"Job descriptions require 3+ years of experience for ""entry-level"" roles., Lack of a professional network or industry connections.",I don't have a structured way to show my work yet.,3,4,Frequently (A few times a week),"Yes, this would save me massive data and time."
6/8/2026 15:13:45,🇿🇲 Zambia,Digital Marketing & Content Creation,University Student (Undergraduate),"Job descriptions require 3+ years of experience for ""entry-level"" roles., International platforms (like Upwork or Fiverr) favor established profiles with massive histories.",I send a standard Word/PDF resume with text descriptions.,3,3,Constantly (Daily issue),"Yes, this would save me massive data and time."
6/8/2026 15:21:51,🇿🇲 Zambia,Data Science / AI / Analytics,University Student (Undergraduate),"Job descriptions require 3+ years of experience for ""entry-level"" roles., International platforms (like Upwork or Fiverr) favor established profiles with massive histories.",I send a standard Word/PDF resume with text descriptions.,3,5,Constantly (Daily issue),"Yes, this would save me massive data and time."
6/8/2026 15:21:57,South Africa,Digital Marketing & Content Creation,University Student (Undergraduate),"Job descriptions require 3+ years of experience for ""entry-level"" roles., Traditional resumes don't capture my practical coding/design skills., International platforms (like Upwork or Fiverr) favor established profiles with massive histories.",I don't have a structured way to show my work yet.,4,2,"Rarely / I have stable, unlimited Wi-Fi","No, I prefer using a standard web browser on a laptop."
6/8/2026 15:24:45,🇿🇲 Zambia,Data Science / AI / Analytics,University Student (Undergraduate),"Job descriptions require 3+ years of experience for ""entry-level"" roles., International platforms (like Upwork or Fiverr) favor established profiles with massive histories., Lack of a professional network or industry connections.",I don't have a structured way to show my work yet.,3,5,Frequently (A few times a week),"Maybe, depending on how easy it is to use."
6/8/2026 15:44:29,🇿🇲 Zambia,Other,University Student (Undergraduate),"Job descriptions require 3+ years of experience for ""entry-level"" roles.",I don't have a structured way to show my work yet.,2,3,Occasionally,"Maybe, depending on how easy it is to use."
